lat,lon
30.300464415,121.298347286
30.300466625,121.298348428
30.300468835,121.29834957
30.300471047,121.298350712
30.30047326,121.298351853
30.300475475,121.298352994
30.30047769,121.298354134
30.300479907,121.298355274
30.300482125,121.298356414
30.300484343,121.298357553
30.300486563,121.298358693
30.300488785,121.298359832
30.300491007,121.298360971
30.300493231,121.298362111
30.300495457,121.29836325
30.300497683,121.298364389
30.300499911,121.298365528
30.300502141,121.298366667
30.300504371,121.298367806
30.300506603,121.298368945
30.300508836,121.298370085
30.30051107,121.298371224
30.300513306,121.298372364
30.300515544,121.298373503
30.300517783,121.298374643
30.300520023,121.298375784
30.300522265,121.298376925
30.300524508,121.298378068
30.300526753,121.298379211
30.300528999,121.298380355
30.300531248,121.2983815
30.300533499,121.298382646
30.300535751,121.298383793
30.300538005,121.298384941
30.300540262,121.29838609
30.30054252,121.29838724
30.300544781,121.29838839
30.300547045,121.298389543
30.300549313,121.298390697
30.300551583,121.298391852
30.300553856,121.298393009
30.300556132,121.298394167
30.300558412,121.298395327
30.300560694,121.298396489
30.300572116,121.298403647
30.300574417,121.29840483
30.300576722,121.298406015
30.300579031,121.2984072
30.300581343,121.298408386
30.300583658,121.298409574
30.300585976,121.298410764
30.300588298,121.298411955
30.300590623,121.298413148
30.300592952,121.298414342
30.300595284,121.298415538
30.300597621,121.298416735
30.300599961,121.298417933
30.300602304,121.298419132
30.300604652,121.298420334
30.300607004,121.298421537
30.300609359,121.298422742
30.300611718,121.298423949
30.300614081,121.298425157
30.300616449,121.298426368
30.30061882,121.29842758
30.300621196,121.298428794
30.300623575,121.29843001
30.30062596,121.298431228
30.300628348,121.298432448
30.300630741,121.298433671
30.300633138,121.298434896
30.300635539,121.298436124
30.300637944,121.298437354
30.300640354,121.298438586
30.300642769,121.29843982
30.300645188,121.298441057
30.300647612,121.298442296
30.30065004,121.298443538
30.300652473,121.298444783
30.30065491,121.298446031
30.300657352,121.298447281
30.300659799,121.298448532
30.30066225,121.298449786
30.300664706,121.298451042
30.300667167,121.2984523
30.300669632,121.298453561
30.300672102,121.298454823
30.300674578,121.298456087
30.300677058,121.298457354
30.300679543,121.298458622
30.300682033,121.298459891
30.300684528,121.298461163
30.300687029,121.298462435
30.300689534,121.298463708
30.300690391,121.298467144
30.300692896,121.298468439
30.300695407,121.298469736
30.300697922,121.298471034
30.300700443,121.298472334
30.30070297,121.298473635
30.300705501,121.298474938
30.300708038,121.298476242
30.30071058,121.298477547
30.300713127,121.298478854
30.300715679,121.298480164
30.300718235,121.298481475
30.300720797,121.298482789
30.300723364,121.298484105
30.300725935,121.298485424
30.30072851,121.298486744
30.300731091,121.298488067
30.300733676,121.298489392
30.300736266,121.298490719
30.30073886,121.298492048
30.300741458,121.29849338
30.300744061,121.298494715
30.300746669,121.298496051
30.30074928,121.29849739
30.300751895,121.298498731
30.300754515,121.298500074
30.300757138,121.29850142
30.300759766,121.298502767
30.300762396,121.298504116
30.300765031,121.298505466
30.300767668,121.298506818
30.300770309,121.298508171
30.300772952,121.298509526
30.300775598,121.298510883
30.300778246,121.298512242
30.300780898,121.298513601
30.300783552,121.298514963
30.300786209,121.298516326
30.300788869,121.298517691
30.300791531,121.298519057
30.300794197,121.298520424
30.300796866,121.298521793
30.300799537,121.298523163
30.300802211,121.298524535
30.300804887,121.298525908
30.300807566,121.298527282
30.300810247,121.298528658
30.300812932,121.298530035
30.300815619,121.298531413
30.300818309,121.298532794
30.300815893,121.298535572
30.300818556,121.298536965
30.300821221,121.298538359
30.30082389,121.298539754
30.300826561,121.298541151
30.300829236,121.298542548
30.300831913,121.298543947
30.300834594,121.298545347
30.300837277,121.298546749
30.300839963,121.298548151
30.300842653,121.298549556
30.300845345,121.298550961
30.30084804,121.298552368
30.300850738,121.298553777
30.300853439,121.298555188
30.300856143,121.298556601
30.300858852,121.298558017
30.300861563,121.298559435
30.300864278,121.298560855
30.300866996,121.298562278
30.300869717,121.298563703
30.300872441,121.298565131
30.300875168,121.298566561
30.300877899,121.298567993
30.300880633,121.298569429
30.300883371,121.298570867
30.300886112,121.298572308
30.300888857,121.298573752
30.300891606,121.298575199
30.300894358,121.298576649
30.300897113,121.298578101
30.300899873,121.298579556
30.300902637,121.298581013
30.300905404,121.298582474
30.300908176,121.298583937
30.300910951,121.298585403
30.300913731,121.298586873
30.300916515,121.298588345
30.300919304,121.29858982
30.300922097,121.298591298
30.300924895,121.298592779
30.300927698,121.298594261
30.300930505,121.298595746
30.300933317,121.298597234
30.300936134,121.298598725
30.300938955,121.29860022
30.300941782,121.298601717
30.300944613,121.298603218
30.300947449,121.298604722
30.30095029,121.298606229
30.300946283,121.298607433
30.300949092,121.298608946
30.300951906,121.298610462
30.300954724,121.298611981
30.300957548,121.298613504
30.300960376,121.29861503
30.30096321,121.29861656
30.300966048,121.298618093
30.30096889,121.29861963
30.300971738,121.29862117
30.30097459,121.298622713
30.300977446,121.29862426
30.300980308,121.298625809
30.300983173,121.298627362
30.300986044,121.298628918
30.300988919,121.298630477
30.300991799,121.298632039
30.300994683,121.298633604
30.300997573,121.298635172
30.301000467,121.298636742
30.301003366,121.298638315
30.30100627,121.298639891
30.301009179,121.29864147
30.301012093,121.298643052
30.301015011,121.298644638
30.301017935,121.298646226
30.301020863,121.298647817
30.301023795,121.29864941
30.301026731,121.298651007
30.301029671,121.298652605
30.301032615,121.298654206
30.301035563,121.29865581
30.301038514,121.298657416
30.301041468,121.298659025
30.301044427,121.298660636
30.301047389,121.29866225
30.301050354,121.298663866
30.301053323,121.298665484
30.301056294,121.298667104
30.301059269,121.298668727
30.301062247,121.298670353
30.301065228,121.298671981
30.301068212,121.298673611
30.301071199,121.298675243
30.301074188,121.298676877
30.301077181,121.298678513
30.301080176,121.298680151
30.301083173,121.298681791
