lat,lon
30.300460002,121.298344999
30.300460005,121.298344998
30.30046001,121.298344996
30.300460015,121.298344994
30.300460022,121.298344992
30.30046003,121.298344989
30.300460039,121.298344986
30.300460049,121.298344982
30.30046006,121.298344978
30.300460073,121.298344974
30.300460086,121.29834497
30.300460101,121.298344966
30.300460118,121.298344962
30.300460135,121.298344957
30.300460154,121.298344953
30.300460174,121.298344949
30.300460196,121.298344944
30.300460219,121.298344939
30.300460243,121.298344935
30.300460268,121.298344931
30.300460295,121.298344926
30.300460323,121.298344922
30.300460353,121.298344918
30.300460383,121.298344914
30.300460416,121.298344911
30.30046045,121.298344908
30.300460485,121.298344905
30.300460522,121.298344904
30.30046056,121.298344904
30.300460601,121.298344904
30.300460643,121.298344906
30.300460687,121.298344908
30.300460733,121.298344911
30.300460781,121.298344916
30.300460831,121.298344921
30.300460883,121.298344927
30.300460938,121.298344934
30.300460996,121.298344943
30.300461057,121.298344953
30.300461121,121.298344965
30.300461187,121.298344978
30.300461257,121.298344992
30.30046133,121.298345009
30.300461407,121.298345027
30.30048988,121.298362716
30.300490128,121.29836292
30.300490379,121.298363125
30.300490634,121.298363331
30.300490892,121.298363539
30.300491153,121.298363748
30.300491418,121.298363958
30.300491686,121.29836417
30.300491957,121.298364384
30.300492232,121.298364599
30.300492511,121.298364816
30.300492794,121.298365035
30.300493081,121.298365254
30.300493371,121.298365475
30.300493665,121.298365697
30.300493964,121.298365922
30.300494266,121.298366148
30.300494572,121.298366377
30.300494882,121.298366606
30.300495196,121.298366838
30.300495514,121.298367071
30.300495837,121.298367307
30.300496164,121.298367545
30.300496495,121.298367784
30.300496831,121.298368026
30.30049717,121.298368271
30.300497514,121.298368517
30.300497863,121.298368767
30.300498216,121.298369018
30.300498573,121.298369272
30.300498935,121.298369528
30.300499302,121.298369787
30.300499673,121.298370048
30.300500049,121.298370312
30.30050043,121.298370579
30.300500815,121.298370848
30.300501204,121.29837112
30.300501599,121.298371394
30.300501998,121.29837167
30.300502402,121.298371948
30.30050281,121.298372228
30.300503224,121.298372511
30.300503642,121.298372795
30.300504065,121.298373082
30.300504493,121.29837337
30.300504927,121.298373661
30.300505365,121.298373953
30.300505808,121.298374247
30.300506257,121.298374541
30.300506711,121.298374837
30.300566104,121.298415951
30.300566973,121.298416608
30.300567846,121.298417267
30.300568726,121.298417928
30.300569611,121.29841859
30.300570502,121.298419254
30.300571398,121.298419919
30.300572301,121.298420586
30.300573208,121.298421255
30.300574121,121.298421926
30.300575039,121.298422599
30.300575962,121.298423275
30.300576891,121.298423953
30.300577825,121.298424634
30.300578764,121.298425317
30.300579707,121.298426002
30.300580656,121.29842669
30.30058161,121.29842738
30.300582569,121.298428073
30.300583532,121.298428768
30.3005845,121.298429466
30.300585474,121.298430166
30.300586451,121.298430869
30.300587433,121.298431575
30.30058842,121.298432283
30.300589411,121.298432993
30.300590406,121.298433705
30.300591406,121.29843442
30.300592409,121.298435136
30.300593416,121.298435855
30.300594427,121.298436574
30.30059544,121.298437296
30.300596457,121.298438019
30.300597477,121.298438745
30.300598501,121.298439472
30.300599527,121.298440201
30.300600556,121.298440931
30.300601588,121.298441664
30.300602624,121.298442398
30.300603662,121.298443134
30.300604704,121.298443871
30.300605749,121.29844461
30.300606798,121.29844535
30.300607848,121.298446092
30.300608902,121.298446836
30.300609959,121.298447581
30.300611019,121.298448327
30.300612082,121.298449076
30.300613148,121.298449825
30.300614217,121.298450577
30.300690964,121.298493093
30.300692533,121.298494144
30.300694106,121.298495197
30.300695684,121.298496251
30.300697265,121.298497308
30.300698849,121.298498365
30.300700438,121.298499425
30.300702031,121.298500486
30.300703627,121.298501549
30.300705227,121.298502613
30.300706831,121.298503679
30.300708439,121.298504747
30.30071005,121.298505818
30.300711665,121.29850689
30.300713285,121.298507965
30.300714909,121.298509042
30.300716537,121.298510122
30.300718169,121.298511205
30.300719806,121.298512291
30.300721446,121.29851338
30.300723091,121.298514472
30.300724739,121.298515566
30.300726392,121.298516663
30.300728049,121.298517764
30.30072971,121.298518867
30.300731376,121.298519974
30.300733046,121.298521084
30.300734721,121.298522198
30.300736401,121.298523314
30.300738084,121.298524434
30.300739773,121.298525558
30.300741466,121.298526684
30.300743164,121.298527813
30.300744867,121.298528945
30.300746575,121.298530081
30.300748287,121.29853122
30.300750005,121.298532363
30.300751729,121.298533509
30.300753457,121.298534659
30.300755191,121.298535812
30.300756931,121.298536968
30.300758677,121.298538126
30.300760428,121.298539287
30.300762185,121.298540452
30.300763947,121.29854162
30.300765715,121.298542792
30.300767489,121.298543968
30.300769269,121.298545148
30.300771055,121.298546331
30.300772847,121.298547517
30.300843666,121.29857694
30.300845889,121.298578308
30.300848118,121.298579679
30.300850353,121.298581054
30.300852595,121.298582433
30.300854844,121.298583817
30.300857099,121.298585204
30.300859361,121.298586596
30.300861629,121.298587992
30.300863904,121.298589392
30.300866184,121.298590796
30.300868471,121.298592204
30.300870765,121.298593615
30.300873064,121.298595031
30.300875371,121.29859645
30.300877683,121.298597874
30.300880002,121.2985993
30.300882327,121.298600731
30.300884659,121.298602165
30.300886997,121.298603602
30.300889342,121.298605043
30.300891694,121.298606487
30.300894052,121.298607935
30.300896417,121.298609387
30.300898788,121.298610842
30.300901166,121.298612302
30.30090355,121.298613764
30.30090594,121.29861523
30.300908336,121.298616699
30.300910737,121.298618172
30.300913144,121.298619647
30.300915555,121.298621125
30.300917972,121.298622607
30.300920394,121.298624092
30.300922822,121.29862558
30.300925254,121.298627071
30.300927692,121.298628565
30.300930134,121.298630062
30.300932581,121.298631562
30.300935033,121.298633065
30.30093749,121.298634571
30.30093995,121.29863608
30.300942415,121.298637592
30.300944885,121.298639106
30.300947359,121.298640623
30.300949837,121.298642143
30.300952319,121.298643665
30.300954805,121.298645189
30.300957295,121.298646716
30.300959789,121.298648245
30.301008438,121.298662762
30.301011209,121.298664368
30.301013984,121.298665977
30.301016763,121.298667588
30.301019546,121.298669202
30.301022333,121.298670818
30.301025124,121.298672436
30.301027918,121.298674058
30.301030716,121.298675681
30.301033518,121.298677308
30.301036324,121.298678937
30.301039134,121.298680568
30.301041947,121.298682202
30.301044763,121.298683838
30.301047583,121.298685477
30.301050405,121.298687117
30.301053231,121.29868876
30.30105606,121.298690406
30.301058893,121.298692054
30.301061729,121.298693704
30.301064569,121.298695357
30.301067412,121.298697011
30.301070258,121.298698668
30.301073107,121.298700327
30.301075959,121.298701988
30.301078815,121.298703651
30.301081674,121.298705315
30.301084535,121.298706982
30.3010874,121.298708651
30.301090268,121.298710323
30.301093139,121.298711997
30.301096013,121.298713673
30.301098891,121.29871535
30.301101771,121.29871703
30.301104655,121.298718713
30.301107541,121.298720397
30.301110431,121.298722084
30.301113323,121.298723774
30.301116219,121.298725465
30.301119118,121.298727159
30.301122019,121.298728855
30.301124924,121.298730553
30.301127832,121.298732253
30.301130743,121.298733956
30.301133657,121.298735661
30.301136574,121.298737368
30.301139494,121.298739077
30.301142417,121.298740788
30.301145344,121.298742501
30.301148274,121.298744217
30.301174836,121.298748293
30.301177908,121.298750022
30.301180984,121.298751753
30.301184064,121.298753487
30.301187147,121.298755222
30.301190234,121.29875696
30.301193325,121.298758701
30.301196419,121.298760443
30.301199517,121.298762189
30.301202619,121.298763936
30.301205725,121.298765685
30.301208834,121.298767436
30.301211948,121.29876919
30.301215065,121.298770945
30.301218186,121.298772703
30.301221311,121.298774462
30.30122444,121.298776223
30.301227573,121.298777985
30.301230711,121.298779749
30.301233852,121.298781515
30.301236998,121.298783282
30.301240147,121.298785052
30.301243301,121.298786822
30.301246459,121.298788595
30.301249622,121.298790368
30.301252789,121.298792143
30.30125596,121.298793919
30.301259136,121.298795697
30.301262316,121.298797476
30.301265501,121.298799257
30.30126869,121.298801038
30.301271884,121.298802822
30.301275082,121.298804606
30.301278285,121.298806393
30.301281493,121.29880818
30.301284705,121.298809969
30.301287923,121.29881176
30.301291145,121.298813553
30.301294372,121.298815347
30.301297604,121.298817142
30.301300842,121.298818939
30.301304084,121.298820738
30.301307332,121.298822539
30.301310586,121.298824341
30.301313844,121.298826146
30.301317108,121.298827953
30.301320378,121.298829762
30.301323652,121.298831573
30.301326933,121.298833386
30.301330218,121.298835201
30.3013374,121.298830285
30.301340721,121.29883206
30.301344048,121.298833837
30.30134738,121.298835617
30.301350719,121.298837399
30.301354063,121.298839183
30.301357414,121.298840969
30.30136077,121.298842759
30.301364132,121.29884455
30.301367499,121.298846344
30.301370873,121.298848139
30.301374252,121.298849937
30.301377638,121.298851738
30.30138103,121.298853541
30.301384428,121.298855346
30.301387832,121.298857154
30.301391242,121.298858964
30.301394658,121.298860777
30.30139808,121.298862592
30.301401508,121.298864411
30.301404942,121.298866233
30.301408383,121.298868057
30.30141183,121.298869885
30.301415283,121.298871715
30.301418742,121.298873549
30.301422207,121.298875385
30.301425678,121.298877225
30.301429156,121.298879069
30.301432639,121.298880915
30.301436128,121.298882766
30.301439622,121.298884619
30.301443123,121.298886477
30.30144663,121.298888338
30.301450142,121.298890203
30.30145366,121.298892071
30.301457185,121.298893944
30.301460715,121.29889582
30.301464251,121.2988977
30.301467792,121.298899584
30.30147134,121.298901472
30.301474893,121.298903364
30.301478452,121.298905261
30.301482016,121.298907162
30.301485586,121.298909067
30.301489162,121.298910975
30.301492743,121.298912888
30.30149633,121.298914805
30.301499922,121.298916727
30.30150352,121.298918652
30.301507123,121.298920582
30.301496331,121.29890747
30.301499865,121.298909312
30.301503404,121.298911159
30.301506947,121.29891301
30.301510496,121.298914866
30.30151405,121.298916725
30.301517609,121.298918588
30.301521173,121.298920456
30.301524742,121.298922328
30.301528316,121.298924204
30.301531896,121.298926085
30.30153548,121.29892797
30.301539069,121.298929859
30.301542664,121.298931753
30.301546263,121.298933652
30.301549868,121.298935555
30.301553477,121.298937463
30.301557092,121.298939375
30.301560711,121.298941292
30.301564335,121.298943213
30.301567963,121.298945138
30.301571597,121.298947068
30.301575236,121.298949002
30.301578879,121.298950941
30.301582528,121.298952884
30.301586182,121.298954832
30.30158984,121.298956785
30.301593503,121.298958743
30.301597171,121.298960705
30.301600844,121.298962673
30.301604522,121.298964646
30.301608205,121.298966625
30.301611892,121.298968608
30.301615585,121.298970597
30.301619282,121.298972591
30.301622985,121.29897459
30.301626691,121.298976594
30.301630403,121.298978602
30.301634119,121.298980616
30.301637839,121.298982635
30.301641565,121.298984659
30.301645295,121.298986688
30.301649029,121.298988722
30.301652768,121.298990761
30.30165651,121.298992805
30.301660257,121.298994854
30.301664007,121.298996908
30.301667762,121.298998967
30.30167152,121.299001031
30.301675282,121.2990031
30.301650196,121.298980638
30.301653804,121.298982564
30.301657416,121.298984496
30.301661031,121.298986433
30.301664651,121.298988375
30.301668275,121.298990323
30.301671903,121.298992277
30.301675536,121.298994236
30.301679172,121.298996201
30.301682813,121.298998172
30.301686458,121.299000149
30.301690108,121.299002131
30.301693762,121.29900412
30.30169742,121.299006113
30.301701081,121.299008112
30.301704748,121.299010117
30.301708418,121.299012127
30.301712091,121.299014142
30.301715769,121.299016163
30.30171945,121.299018188
30.301723135,121.299020219
30.301726824,121.299022256
30.301730516,121.299024298
30.301734212,121.299026345
30.301737911,121.299028397
30.301741615,121.299030454
30.301745322,121.299032517
30.301749032,121.299034584
30.301752747,121.299036657
30.301756465,121.299038734
30.301760187,121.299040817
30.301763914,121.299042905
30.301767644,121.299044999
30.301771378,121.299047097
30.301775117,121.299049201
30.30177886,121.299051309
30.301782607,121.299053423
30.301786358,121.299055541
30.301790114,121.299057665
30.301793874,121.299059794
30.301797638,121.299061928
30.301801407,121.299064067
30.301805181,121.299066212
30.301808958,121.299068361
30.301812741,121.299070516
30.301816527,121.299072676
30.301820318,121.299074842
30.301824114,121.299077012
30.301827913,121.299079188
30.301831717,121.299081368
30.301795334,121.29905124
30.301798916,121.299053234
30.301802502,121.299055233
30.301806091,121.299057238
30.301809683,121.299059248
30.301813279,121.299061263
30.301816879,121.299063283
30.301820483,121.299065308
30.301824091,121.299067336
30.301827703,121.29906937
30.301831319,121.299071408
30.301834939,121.299073449
30.301838563,121.299075495
30.301842192,121.299077546
30.301845823,121.299079601
30.30184946,121.299081661
30.3018531,121.299083726
30.301856745,121.299085795
30.301860394,121.299087868
30.301864047,121.299089945
30.301867704,121.299092027
30.301871364,121.299094113
30.301875029,121.299096204
30.301878697,121.2990983
30.301882369,121.2991004
30.301886045,121.299102506
30.301889724,121.299104618
30.301893406,121.299106734
30.301897092,121.299108856
30.301900782,121.299110982
30.301904476,121.299113112
30.301908174,121.299115249
30.301911876,121.299117391
30.301915583,121.299119538
30.301919295,121.29912169
30.301923012,121.299123847
30.301926733,121.29912601
30.30193046,121.299128179
30.301934191,121.299130354
30.301937928,121.299132534
30.30194167,121.299134718
30.301945418,121.299136907
30.301949171,121.299139102
30.301952928,121.299141302
30.301956691,121.299143507
30.301960459,121.299145718
30.301964233,121.299147935
30.301968012,121.299150157
